0,City,Country,Latitude,Temperature,Humidity,Cloud Cover,Wind Speed,Date
<citipy.citipy.City object at 0x000001F1EBB33780>,lavrentiya,ru,65.58,11.79,100,0,21.21,1514655534
<citipy.citipy.City object at 0x000001F1EA7504E0>,terrace,ca,54.52,5,65,5,11.41,1514653200
<citipy.citipy.City object at 0x000001F1EBCDF160>,barentsburg,sj,,,,,,
<citipy.citipy.City object at 0x000001F1EAA3D390>,juelsminde,dk,55.71,36.5,100,92,5.82,1514654400
<citipy.citipy.City object at 0x000001F1EBBB95F8>,pevek,ru,69.7,-2.62,87,68,7.16,1514655459
<citipy.citipy.City object at 0x000001F1EBAEB4A8>,khatanga,ru,71.98,-16.03,24,64,4.92,1514655537
<citipy.citipy.City object at 0x000001F1EA6D7780>,vila velha,br,-3.71,87.8,58,20,17.22,1514653200
<citipy.citipy.City object at 0x000001F1EBBA75C0>,palana,ru,59.08,0.99,61,8,2.35,1514655844
<citipy.citipy.City object at 0x000001F1EB5665C0>,rikitea,pf,-23.12,76.95,100,8,2.91,1514655416
<citipy.citipy.City object at 0x000001F1EA4E3128>,ngukurr,au,,,,,,
<citipy.citipy.City object at 0x000001F1EA4D7780>,esperance,au,10.24,77,94,40,8.05,1514653200
<citipy.citipy.City object at 0x000001F1EBEEF860>,hilo,us,19.71,52.25,93,90,6.93,1514652960
<citipy.citipy.City object at 0x000001F1EA4AD0B8>,ushuaia,ar,-54.81,42.8,81,75,26.4,1514653200
<citipy.citipy.City object at 0x000001F1EB564C50>,mataura,pf,-46.19,64.66,61,92,18.45,1514655400
<citipy.citipy.City object at 0x000001F1EC246B00>,hermanus,za,-34.42,77.94,42,0,5.66,1514655407
<citipy.citipy.City object at 0x000001F1EBA932E8>,dikson,ru,73.51,18.18,95,80,15.61,1514655475
<citipy.citipy.City object at 0x000001F1EC244A20>,east london,za,-33.02,69.8,100,90,5.82,1514653200
<citipy.citipy.City object at 0x000001F1EBA907B8>,de-kastri,ru,51.48,24.75,87,76,9.62,1514655846
<citipy.citipy.City object at 0x000001F1EB46B668>,vao,nc,59.1,32.94,94,48,7.67,1514655633
<citipy.citipy.City object at 0x000001F1EAF595F8>,narasannapeta,in,18.42,66.69,88,56,4.54,1514655847
<citipy.citipy.City object at 0x000001F1EA4CFB70>,albany,au,42.65,9.3,72,90,3.36,1514653860
<citipy.citipy.City object at 0x000001F1EA7146A0>,haines junction,ca,60.75,-41.86,0,0,2.13,1514655596
<citipy.citipy.City object at 0x000001F1EB3085C0>,sambava,mg,-14.27,82.08,100,44,7.34,1514655848
<citipy.citipy.City object at 0x000001F1EAA620F0>,adrar,dz,27.87,73.4,20,0,12.75,1514653200
<citipy.citipy.City object at 0x000001F1EBCBD0B8>,umm kaddadah,sd,13.6,65.92,35,0,7.94,1514655748
<citipy.citipy.City object at 0x000001F1EBC5D828>,usinsk,ru,66,30.73,93,92,15.1,1514655681
<citipy.citipy.City object at 0x000001F1EBEEFC88>,kapaa,us,22.08,62.6,93,1,5.82,1514652960
<citipy.citipy.City object at 0x000001F1EAC1D3C8>,qaanaaq,gl,77.48,-8.02,91,76,7.9,1514655441
<citipy.citipy.City object at 0x000001F1EC242828>,bredasdorp,za,-34.53,73.4,78,48,16.11,1514653200
<citipy.citipy.City object at 0x000001F1EA5C0E48>,aripuana,br,-9.17,91.89,53,24,2.8,1514655537
<citipy.citipy.City object at 0x000001F1EB48C278>,matiguas,ni,12.84,71.6,73,40,20.8,1514653200
<citipy.citipy.City object at 0x000001F1EA4DC550>,hervey bay,au,-25.3,80.23,95,56,14.65,1514655851
<citipy.citipy.City object at 0x000001F1EB0ED940>,katsuura,jp,33.93,36.31,98,92,3.02,1514655467
<citipy.citipy.City object at 0x000001F1EAC19E10>,illoqqortoormiut,gl,,,,,,
<citipy.citipy.City object at 0x000001F1EA49BAC8>,rincon,an,32.3,54.72,47,20,11.41,1514654100
<citipy.citipy.City object at 0x000001F1EA5C2128>,arraial do cabo,br,-22.97,83.28,79,75,6.93,1514653200
<citipy.citipy.City object at 0x000001F1EA830550>,zhuanghe,cn,39.7,24.84,100,0,9.35,1514655854
<citipy.citipy.City object at 0x000001F1EA4D7CF8>,geraldton,au,49.72,-14.81,75,20,10.29,1514653200
<citipy.citipy.City object at 0x000001F1EC242E10>,cape town,za,-33.93,71.6,68,0,11.41,1514653200
<citipy.citipy.City object at 0x000001F1EB513630>,tuatapere,nz,-46.13,61.29,92,92,19.75,1514655522
<citipy.citipy.City object at 0x000001F1EA6DB940>,freeport,bs,26.54,75.2,73,40,13.87,1514653200
<citipy.citipy.City object at 0x000001F1EB506198>,kaitangata,nz,-46.28,62.1,69,100,11.3,1514655521
<citipy.citipy.City object at 0x000001F1EA7A8F28>,castro,cl,-42.48,57.37,72,48,6.15,1514655393
<citipy.citipy.City object at 0x000001F1EBA8BC50>,chokurdakh,ru,70.62,-17.02,77,80,4.81,1514655455
<citipy.citipy.City object at 0x000001F1EC2352E8>,vaitupu,wf,,,,,,
<citipy.citipy.City object at 0x000001F1EB871898>,saint-philippe,re,45.36,-0.42,76,90,8.05,1514654100
<citipy.citipy.City object at 0x000001F1EAF85DA0>,puri,in,-7.54,78.8,83,20,4.7,1514653200
<citipy.citipy.City object at 0x000001F1EA827B70>,yishui,cn,35.78,25.42,77,0,7.34,1514655857
<citipy.citipy.City object at 0x000001F1EB343E48>,hithadhoo,mv,-0.6,77.62,100,92,7.94,1514655409
<citipy.citipy.City object at 0x000001F1EBAB3A20>,gornyatskiy,ru,48.29,33.52,92,80,9.28,1514655679
<citipy.citipy.City object at 0x000001F1EB2F8438>,asfi,ma,,,,,,
<citipy.citipy.City object at 0x000001F1EA4D3128>,busselton,au,-33.64,62.68,100,0,19.24,1514655411
